Année du Baccalauréat;Enseignements de spécialité;Formation;Nombre de candidats bacheliers ayant confirmé au moins un vœu;Nombre de candidats bacheliers ayant reçu au moins une proposition d'admission;Nombre de candidats bacheliers ayant accepté une proposition d'admission
2021;Sciences Economiques et Sociales Spécialité,Histoire-Géographie, Géopolitique et Sciences politiques;BTS Agricole;504;275;134
2021;Sciences Economiques et Sociales Spécialité,Humanités, Littérature et Philosophie;Licence Mathématiques;22;3;1
2021;Sciences Economiques et Sociales Spécialité,Humanités, Littérature et Philosophie;Licence Pluri Sciences de la vie, de la santé, de la terre et de l univers;25;4;0
2021;Sciences Economiques et Sociales Spécialité,Langues, littératures et cultures étrangères et régionales;Licence Physique et chimie;16;2;1
2021;Sciences Economiques et Sociales Spécialité,Langues, littératures et cultures étrangères et régionales;Licence Pluri Langues;132;32;5
2021;Sciences Economiques et Sociales Spécialité,Langues, littératures et cultures étrangères et régionales;BUT Production;1120;194;82
2021;Sciences Economiques et Sociales Spécialité,Numérique et Sciences Informatiques;Licence Pluri Langues;1;0;0
2021;Sciences Economiques et Sociales Spécialité,Numérique et Sciences Informatiques;Licence Sciences de gestion;90;30;10
2021;Sciences Economiques et Sociales Spécialité,Numérique et Sciences Informatiques;Licence L.AS;504;31;7
2021;Sciences Economiques et Sociales Spécialité,Numérique et Sciences Informatiques;BUT Service;415;116;64
2021;Sciences Economiques et Sociales Spécialité,Numérique et Sciences Informatiques;Sciences po;7;0;0
2021;Sciences Economiques et Sociales Spécialité,Sciences de l'ingénieur et sciences physiques;Licence Mathématiques;4;1;1
2021;Sciences Economiques et Sociales Spécialité,Sciences de l'ingénieur et sciences physiques;Licence Pluri Sciences de la vie, de la santé, de la terre et de l univers;0;0;0
2021;Sciences Economiques et Sociales Spécialité,Sciences de l'ingénieur et sciences physiques;Licence Pluri Sciences économiques - Gestion;48;32;15
2021;Sciences de l'ingénieur et sciences physiques,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Physique;1;0;0
2021;Sciences de l'ingénieur et sciences physiques,Histoire-Géographie, Géopolitique et Sciences politiques;BTS Agricole;2;2;2
2021;Sciences de l'ingénieur et sciences physiques,Humanités, Littérature et Philosophie;PASS;0;0;0
2021;Sciences de l'ingénieur et sciences physiques,Langues, littératures et cultures étrangères et régionales;Licence Formation générale aux métiers de l ingénieur;12;5;3
2021;Sciences de l'ingénieur et sciences physiques,Langues, littératures et cultures étrangères et régionales;Licence Sciences et technologies industrielles;1;0;0
2021;Sciences de l'ingénieur et sciences physiques,Numérique et Sciences Informatiques;Licence Histoire;17;15;6
2021;Sciences de l'ingénieur et sciences physiques,Numérique et Sciences Informatiques;Licence Langues et littératures étrangères;23;15;7
2021;Sciences de l'ingénieur et sciences physiques,Numérique et Sciences Informatiques;Licence STAPS;33;16;9
2021;Sciences de l'ingénieur et sciences physiques,Numérique et Sciences Informatiques;CPGE S;35;6;2
2021;Sciences de l'ingénieur et sciences physiques,Numérique et Sciences Informatiques;Autres formations;73;15;3
2021;Sciences de la vie et de la Terre Spécialité,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Langues et littératures étrangères;303;234;60
2021;Sciences de la vie et de la Terre Spécialité,Langues, littératures et cultures étrangères et régionales;Licence Génie civil;3;2;1
2021;Sciences de la vie et de la Terre Spécialité,Langues, littératures et cultures étrangères et régionales;Licence Physique et chimie;147;8;2
2021;Sciences de la vie et de la Terre Spécialité,Langues, littératures et cultures étrangères et régionales;Licence Pluri Sciences fondamentales et applications;0;0;0
2021;Sciences de la vie et de la Terre Spécialité,Langues, littératures et cultures étrangères et régionales;Licence Sciences et technologies industrielles;151;31;5
2021;Sciences de la vie et de la Terre Spécialité,Numérique et Sciences Informatiques;Licence Mécanique, Génie mécanique, Ingénierie mécanique;0;0;0
2021;Sciences de la vie et de la Terre Spécialité,Numérique et Sciences Informatiques;Licence Sciences de gestion;12;6;2
2021;Sciences de la vie et de la Terre Spécialité,Numérique et Sciences Informatiques;Licence Sciences économiques;10;4;1
2021;Sciences de la vie et de la Terre Spécialité,Numérique et Sciences Informatiques;Licence Sociologie, Démographie;14;8;4
2021;Sciences de la vie et de la Terre Spécialité,Numérique et Sciences Informatiques;BUT Production;254;88;45
2021;Sciences de la vie et de la Terre Spécialité,Sciences Economiques et Sociales Spécialité;Licence Pluri Sciences économiques - Gestion;2416;1551;343
2021;Sciences de la vie et de la Terre Spécialité,Sciences Economiques et Sociales Spécialité;Licence Sciences de l éducation;1016;524;176
2021;Sciences de la vie et de la Terre Spécialité,Sciences Economiques et Sociales Spécialité;BTS Production;596;170;62
2021;Sciences de la vie et de la Terre Spécialité,Sciences de l'ingénieur et sciences physiques;CPGE L;2;0;0
2021;Sciences de la vie et de la Terre Spécialité,Sciences de l'ingénieur et sciences physiques;D.E sanitaire;31;7;4
2022;Art,Histoire-Géographie, Géopolitique et Sciences politiques;Licence MASS;1;0;0
2022;Art,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Pluri Sciences;8;5;1
2022;Art,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Psychlogie, Sciences cognitives;333;168;65
2022;Art,Histoire-Géographie, Géopolitique et Sciences politiques;BTS Agricole;26;16;7
2022;Art,Histoire-Géographie, Géopolitique et Sciences politiques;CPGE L;228;169;71
2022;Art,Histoire-Géographie, Géopolitique et Sciences politiques;Sciences po;127;19;14
2022;Art,Humanités, Littérature et Philosophie;Licence Chimie;1;1;0
2022;Art,Humanités, Littérature et Philosophie;Licence Mathématiques;3;1;1
2022;Art,Langues, littératures et cultures étrangères et régionales;Licence Arts;3076;2400;1075
2022;Art,Langues, littératures et cultures étrangères et régionales;Licence Sciences religieuses;4;4;1
2022;Art,Mathématiques Spécialité;Licence Archéologie, Ethno, Préhistoire, Anthropologie;7;4;2
2022;Art,Mathématiques Spécialité;Licence Langues et littératures françaises;72;60;11
2022;Art,Mathématiques Spécialité;Licence Langues et littératures étrangères;131;113;24
2022;Art,Mathématiques Spécialité;Licence Pluri Langues;3;1;0
2022;Art,Numérique et Sciences Informatiques;Licence Electronique, Génie électrique, EEA;0;0;0
2022;Art,Numérique et Sciences Informatiques;Licence Mécanique, Génie mécanique, Ingénierie mécanique;0;0;0
2022;Art,Numérique et Sciences Informatiques;Licence Sciences économiques;3;2;0
2022;Art,Numérique et Sciences Informatiques;BUT Service;27;6;3
2022;Art,Physique-Chimie Spécialité;Licence Pluri Sciences;6;4;2
2022;Art,Physique-Chimie Spécialité;Licence Pluri Sciences fondamentales et applications;0;0;0
2022;Art,Physique-Chimie Spécialité;Licence Pluri Sciences humaines et sociales;0;0;0
2022;Art,Sciences Economiques et Sociales Spécialité;Licence Sciences politiques;73;10;2
2022;Art,Sciences Economiques et Sociales Spécialité;Sciences po;28;4;4
2022;Art,Sciences de l'ingénieur et sciences physiques;Licence Pluri Sciences;0;0;0
